gols_mandante,gols_visitante,att_m,def_v,att_v,def_m,pred_gols_mandante,pred_gols_visitante
1,0,1.8,2.4,0.8,2.0,1.8754564565723424,1.032264828134745
3,2,0.8,0.8,1.2,0.8,1.3617671466523178,0.9329323381264233
1,2,1.0,0.8,1.8,0.8,1.3945645117949474,1.0257844640307225
4,1,1.2,0.4,1.0,1.4,1.3581352742094321,0.9813425699914471
0,0,0.8,1.2,1.8,2.0,1.4319708901530077,1.2091153834278427
2,0,0.6,1.6,0.4,1.4,1.4703806191126587,0.8925132427212249
1,0,1.6,1.8,1.6,1.0,1.6983383747146503,1.0214632166775823
0,1,1.8,0.8,2.0,1.2,1.5338455719852668,1.1183952580320164
4,2,0.4,0.8,0.6,2.2,1.2984682613537126,1.0279162814246603
1,0,1.8,1.2,1.6,1.4,1.612920545537126,1.079012829816599
0,2,0.4,0.6,1.6,1.4,1.266238954546893,1.079012829816599
2,2,2.0,2.0,1.8,0.8,1.8264652136001363,1.0257844640307225
1,1,0.8,1.0,1.2,2.6,1.396427911914124,1.1938990083275258
2,0,0.8,1.0,1.6,0.6,1.396427911914124,0.9669830368955475
1,0,1.2,1.0,1.0,0.2,1.4645022213561352,0.8325474772600828
1,1,0.4,1.4,1.2,1.6,1.4001621850370347,1.0410171882859462
5,2,1.2,0.4,1.2,0.6,1.3581352742094321,0.907712276120325
2,0,1.6,1.8,0.2,1.2,1.6983383747146503,0.8413513717343789
1,4,1.4,1.4,1.8,1.4,1.57709236330152,1.113683875945428
2,0,0.8,1.8,0.4,1.2,1.544120522727115,0.868385834545089
2,3,1.0,1.0,2.4,1.4,1.4300600613127912,1.2245256929142163
3,1,1.4,1.4,1.6,0.4,1.57709236330152,0.9408424786227716
1,0,2.0,1.4,0.8,0.6,1.6938088570529968,0.8520744881572753
1,0,1.4,0.2,1.2,1.8,1.3563229719701058,1.0699410210121056
2,0,1.6,2.8,1.0,1.8,1.9257617907575044,1.036631771146972
1,0,0.8,0.8,0.8,0.6,1.3617671466523178,0.8520744881572753
2,2,1.2,0.8,1.6,1.2,1.4281517822917658,1.0498437578901176
3,0,2.6,0.8,1.8,1.2,1.6870372211541989,1.0835775378341967
1,1,0.6,1.4,1.2,0.8,1.4338842722194525,0.9329323381264233
1,0,2.0,1.6,0.4,1.4,1.7369210083022089,0.8925132427212249
4,0,0.8,1.6,1.2,2.4,1.5057938762045455,1.1616242057630561
2,0,1.0,1.2,1.2,1.8,1.4664590713912027,1.0699410210121056
3,0,1.2,0.6,1.0,1.6,1.3927035982058482,1.0086083910181172
1,1,0.8,0.2,1.6,0.6,1.2628618585606721,0.9669830368955475
1,0,0.2,0.4,1.8,2.0,1.2057693622535077,1.2091153834278427
4,0,0.2,2.0,1.4,1.6,1.4743126536842641,1.0744673512113494
2,2,1.4,1.2,1.6,1.0,1.5379473220615085,1.0214632166775823
